Timestamp,WVHT,DPD,APD
2024-01-01T00:26:00,3.31,14.29,10.29
2024-01-01T00:56:00,3.02,14.29,10.21
2024-01-01T01:26:00,3.02,12.50,9.93
2024-01-01T01:56:00,2.81,13.33,9.57
2024-01-01T02:26:00,2.84,13.33,9.85
2024-01-01T02:56:00,3.22,12.50,10.31
2024-01-01T03:26:00,2.88,13.33,9.93
2024-01-01T03:56:00,2.70,12.50,9.47
2024-01-01T04:26:00,2.53,11.76,9.67
2024-01-01T04:56:00,2.61,12.50,9.66
2024-01-01T05:26:00,2.41,12.50,9.51
2024-01-01T05:56:00,2.57,12.50,9.95
2024-01-01T06:26:00,2.60,11.76,9.86
2024-01-01T06:56:00,2.68,11.76,9.90
2024-01-01T07:26:00,2.33,12.50,9.51
2024-01-01T07:56:00,2.56,12.50,10.05
2024-01-01T08:26:00,2.42,11.76,9.66
2024-01-01T08:56:00,2.21,11.76,9.38
2024-01-01T09:26:00,2.25,11.76,9.59
2024-01-01T09:56:00,2.25,12.50,9.70
2024-01-01T10:26:00,2.17,11.11,9.73
2024-01-01T11:26:00,2.22,11.76,9.63
2024-01-01T11:56:00,2.10,11.76,9.49
2024-01-01T12:26:00,2.11,11.11,9.50
2024-01-01T12:56:00,2.25,11.76,9.85
2024-01-01T13:26:00,1.98,11.11,9.32
2024-01-01T13:56:00,1.93,11.76,9.23
2024-01-01T14:26:00,2.02,11.76,8.86
2024-01-01T14:56:00,1.95,11.76,9.22
2024-01-01T15:26:00,1.93,10.53,8.93
2024-01-01T15:56:00,2.02,11.11,9.27
2024-01-01T16:26:00,2.28,11.11,9.85
2024-01-01T16:56:00,1.89,11.76,9.20
2024-01-01T17:26:00,1.99,11.11,9.71
2024-01-01T17:56:00,2.01,9.88,9.66
2024-01-01T18:26:00,1.83,11.76,9.51
2024-01-01T18:56:00,1.94,13.33,9.55
2024-01-01T19:26:00,1.88,14.29,9.40
2024-01-01T19:56:00,2.02,13.33,9.78
2024-01-01T20:26:00,2.11,13.33,10.24
2024-01-01T20:56:00,2.16,13.33,10.42
2024-01-01T21:26:00,2.15,13.33,10.63
2024-01-01T21:56:00,2.16,13.33,10.62
2024-01-01T22:26:00,2.33,13.33,10.61
2024-01-01T22:56:00,2.31,13.33,10.83
2024-01-01T23:26:00,2.29,14.29,10.83
2024-01-01T23:56:00,2.34,14.29,10.94
2024-01-02T00:26:00,2.45,13.33,10.83
2024-01-02T00:56:00,2.36,14.29,10.42
2024-01-02T01:26:00,2.45,12.50,10.43
2024-01-02T01:56:00,2.66,13.33,10.52
2024-01-02T02:26:00,2.59,13.33,10.44
2024-01-02T02:56:00,2.81,13.33,10.77
2024-01-02T03:26:00,2.49,18.18,10.15
2024-01-02T03:56:00,2.94,12.50,10.68
2024-01-02T04:26:00,2.93,13.33,10.44
2024-01-02T04:56:00,2.62,12.50,9.93
2024-01-02T05:26:00,2.55,12.50,9.60
2024-01-02T05:56:00,2.93,13.33,10.08
2024-01-02T06:26:00,2.94,12.50,9.92
2024-01-02T06:56:00,2.95,16.67,10.39
2024-01-02T07:26:00,3.01,11.76,10.16
2024-01-02T07:56:00,2.74,10.53,9.99
2024-01-02T08:26:00,2.91,12.50,10.28
2024-01-02T08:56:00,3.13,16.67,10.60
2024-01-02T09:26:00,2.64,12.50,9.98
2024-01-02T09:56:00,3.02,11.76,10.40
2024-01-02T10:26:00,3.01,18.18,10.89
2024-01-02T10:56:00,2.79,12.50,10.21
2024-01-02T11:26:00,2.63,12.50,10.04
2024-01-02T11:56:00,2.96,16.67,10.75
2024-01-02T12:26:00,2.71,11.76,10.19
2024-01-02T12:56:00,2.62,16.67,10.24
2024-01-02T13:26:00,2.67,12.50,9.91
2024-01-02T13:56:00,2.45,11.76,10.18
2024-01-02T14:26:00,2.40,11.76,10.05
2024-01-02T14:56:00,2.47,16.67,10.42
2024-01-02T15:26:00,2.67,11.76,10.52
2024-01-02T15:56:00,2.53,11.76,10.36
2024-01-02T16:26:00,2.46,11.76,10.01
2024-01-02T16:56:00,2.49,16.67,10.20
2024-01-02T17:26:00,2.32,12.50,10.12
2024-01-02T17:56:00,2.41,11.11,10.66
2024-01-02T18:26:00,2.57,16.67,10.98
2024-01-02T18:56:00,2.50,11.11,10.67
2024-01-02T19:26:00,2.64,16.67,10.92
2024-01-02T19:56:00,2.63,11.11,10.95
2024-01-02T20:26:00,2.47,16.67,10.96
2024-01-02T20:56:00,2.56,11.11,10.66
2024-01-02T21:26:00,2.65,10.53,10.95
2024-01-02T21:56:00,2.30,11.76,10.03
2024-01-02T22:26:00,2.80,11.76,10.96
2024-01-02T22:56:00,2.50,15.38,10.48
2024-01-02T23:26:00,2.43,15.38,10.26
2024-01-02T23:56:00,2.46,15.38,10.80
2024-01-03T00:26:00,2.30,11.11,10.38
2024-01-03T00:56:00,2.29,12.50,10.70
2024-01-03T01:26:00,2.21,11.76,10.53
2024-01-03T01:56:00,2.35,15.38,10.44
2024-01-03T02:26:00,2.19,14.29,9.79
2024-01-03T02:56:00,2.23,14.29,10.41
2024-01-03T03:26:00,2.09,15.38,9.85
2024-01-03T03:56:00,2.18,15.38,10.01
2024-01-03T04:26:00,1.95,15.38,9.53
2024-01-03T04:56:00,2.08,15.38,9.53
2024-01-03T05:26:00,2.02,16.67,9.22
2024-01-03T05:56:00,1.98,14.29,8.97
2024-01-03T06:26:00,2.20,15.38,9.19
2024-01-03T06:56:00,1.97,14.29,7.92
2024-01-03T07:26:00,2.06,14.29,7.96
2024-01-03T07:56:00,2.07,14.29,7.80
2024-01-03T08:26:00,1.92,16.67,7.21
2024-01-03T08:56:00,1.92,13.33,7.12
2024-01-03T09:26:00,2.06,15.38,7.11
2024-01-03T09:56:00,2.01,14.29,6.87
2024-01-03T10:26:00,2.21,15.38,7.34
2024-01-03T10:56:00,2.18,15.38,6.79
2024-01-03T11:26:00,2.24,11.76,6.61
2024-01-03T11:56:00,2.27,14.29,6.83
2024-01-03T12:26:00,2.29,13.33,6.79
2024-01-03T12:56:00,2.25,11.11,6.88
2024-01-03T13:26:00,2.27,15.38,6.75
2024-01-03T13:56:00,2.26,12.50,6.99
2024-01-03T14:26:00,2.41,15.38,7.16
2024-01-03T14:56:00,2.46,11.11,7.10
2024-01-03T15:26:00,2.45,12.50,7.24
2024-01-03T15:56:00,2.57,11.76,7.77
2024-01-03T16:26:00,2.79,11.76,7.95
2024-01-03T16:56:00,2.77,12.50,7.91
2024-01-03T17:26:00,2.99,13.33,8.79
2024-01-03T17:56:00,3.14,13.33,9.02
2024-01-03T18:26:00,3.02,12.50,9.04
2024-01-03T18:56:00,3.32,13.33,9.62
2024-01-03T19:26:00,3.29,14.29,9.77
