Timestamp,WVHT,DPD,APD
2024-01-01T00:00:00,nan,nan,nan
2024-01-01T00:10:00,3.55,11.43,8.13
2024-01-01T00:20:00,nan,nan,nan
2024-01-01T00:30:00,nan,nan,nan
2024-01-01T00:40:00,3.39,11.43,7.65
2024-01-01T00:50:00,nan,nan,nan
2024-01-01T01:00:00,nan,nan,nan
2024-01-01T01:10:00,3.54,11.43,7.67
2024-01-01T01:20:00,nan,nan,nan
2024-01-01T01:30:00,nan,nan,nan
2024-01-01T01:40:00,3.35,11.43,7.64
2024-01-01T01:50:00,nan,nan,nan
2024-01-01T02:00:00,nan,nan,nan
2024-01-01T02:10:00,3.35,11.43,7.46
2024-01-01T02:20:00,nan,nan,nan
2024-01-01T02:30:00,nan,nan,nan
2024-01-01T02:40:00,3.67,11.43,8.00
2024-01-01T02:50:00,nan,nan,nan
2024-01-01T03:00:00,nan,nan,nan
2024-01-01T03:10:00,3.84,12.12,8.05
2024-01-01T03:20:00,nan,nan,nan
2024-01-01T03:30:00,nan,nan,nan
2024-01-01T03:40:00,3.58,10.81,7.71
2024-01-01T03:50:00,nan,nan,nan
2024-01-01T04:00:00,nan,nan,nan
2024-01-01T04:10:00,3.71,11.43,8.02
2024-01-01T04:20:00,nan,nan,nan
2024-01-01T04:30:00,nan,nan,nan
2024-01-01T04:40:00,3.43,10.81,7.90
2024-01-01T04:50:00,nan,nan,nan
2024-01-01T05:00:00,nan,nan,nan
2024-01-01T05:10:00,3.41,11.43,7.87
2024-01-01T05:20:00,nan,nan,nan
2024-01-01T05:30:00,nan,nan,nan
2024-01-01T05:40:00,3.37,12.12,8.09
2024-01-01T05:50:00,nan,nan,nan
2024-01-01T06:00:00,nan,nan,nan
2024-01-01T06:10:00,3.75,12.12,8.86
2024-01-01T06:20:00,nan,nan,nan
2024-01-01T06:30:00,nan,nan,nan
2024-01-01T06:40:00,3.87,12.12,8.66
2024-01-01T06:50:00,nan,nan,nan
2024-01-01T07:00:00,nan,nan,nan
2024-01-01T07:10:00,3.67,11.43,8.31
2024-01-01T07:20:00,nan,nan,nan
2024-01-01T07:30:00,nan,nan,nan
2024-01-01T07:40:00,4.06,12.12,8.86
2024-01-01T07:50:00,nan,nan,nan
2024-01-01T08:00:00,nan,nan,nan
2024-01-01T08:10:00,4.13,12.12,8.81
2024-01-01T08:20:00,nan,nan,nan
2024-01-01T08:30:00,nan,nan,nan
2024-01-01T08:40:00,4.75,12.12,9.22
2024-01-01T08:50:00,nan,nan,nan
