TIME(HAST),WVHTft,SwHft,SwPsec,SwD,WWHft,WWPsec,WWD,STEEPNESS,APDsec
2025-02-1508:40 am,18.0,17.7,14.8,SW,2.0,4.0,SE,SWELL,10.4
2025-02-1508:10 am,18.4,18.0,12.9,SW,2.0,3.1,SE,AVERAGE,10.4
2025-02-1507:40 am,17.1,16.7,11.4,SSW,2.3,4.0,ESE,AVERAGE,9.8
2025-02-1507:10 am,17.7,17.4,16.0,WSW,3.0,5.0,SSE,SWELL,10.4
2025-02-1506:40 am,17.4,17.1,16.0,SW,3.6,5.6,SE,SWELL,10.0
2025-02-1506:10 am,17.7,17.4,13.8,SW,3.9,5.9,SE,SWELL,10.4
2025-02-1505:40 am,17.4,16.7,16.0,SW,5.6,5.0,ESE,SWELL,9.9
2025-02-1505:10 am,17.7,16.7,16.0,WSW,5.2,5.3,SSE,SWELL,9.9
2025-02-1504:40 am,18.0,17.4,16.0,SW,5.6,6.2,SE,SWELL,9.8
2025-02-1504:10 am,15.7,14.4,16.0,WSW,5.9,5.6,SSE,SWELL,9.3
2025-02-1503:40 am,17.7,16.4,16.0,SW,6.6,7.1,S,SWELL,9.7
2025-02-1503:10 am,17.4,16.1,16.0,SW,6.9,7.7,SSE,SWELL,9.9
2025-02-1502:40 am,16.1,14.8,17.4,SW,6.2,5.0,SE,SWELL,9.2
2025-02-1502:10 am,19.7,17.4,16.0,SW,8.9,8.3,S,SWELL,10.0
2025-02-1501:40 am,17.7,15.1,16.0,SW,8.9,8.3,S,SWELL,9.4
2025-02-1501:10 am,18.4,16.7,17.4,SW,7.5,7.7,S,SWELL,9.4
2025-02-1512:40 am,17.7,14.8,17.4,SSW,9.5,7.1,SSE,SWELL,8.9
2025-02-1512:10 am,16.1,13.1,17.4,SW,9.5,7.7,SSE,SWELL,8.4
2025-02-1411:40 pm,16.1,12.8,12.1,SSW,9.8,6.7,SE,AVERAGE,8.2
2025-02-1411:10 pm,16.1,13.1,12.9,SSW,9.5,8.3,SSW,AVERAGE,8.3
2025-02-1410:40 pm,16.1,11.2,12.9,SSW,11.5,10.0,SSW,AVERAGE,8.0
2025-02-1410:10 pm,14.8,10.5,12.9,SSW,10.5,9.1,SSW,SWELL,7.5
2025-02-1409:40 pm,15.7,12.5,12.1,SSW,9.5,6.2,SE,AVERAGE,8.1
2025-02-1409:10 pm,14.4,12.1,12.9,SSW,7.9,6.2,SSE,SWELL,7.8
2025-02-1408:40 pm,14.1,11.5,12.1,SSW,7.9,7.7,S,AVERAGE,7.9
2025-02-1408:10 pm,13.8,11.8,12.9,SSW,7.2,7.7,S,SWELL,7.9
2025-02-1407:40 pm,14.4,12.5,12.9,SSW,7.2,7.1,S,SWELL,8.3
2025-02-1407:10 pm,14.1,12.1,13.8,SSW,6.9,6.7,S,SWELL,7.8
2025-02-1406:40 pm,13.8,11.5,10.8,SSW,7.2,7.7,S,AVERAGE,7.9
2025-02-1406:10 pm,12.8,10.2,12.1,SW,7.9,8.3,SSW,AVERAGE,7.6
2025-02-1405:40 pm,12.1,9.5,10.0,SSW,7.5,8.3,SSW,AVERAGE,7.5
2025-02-1405:10 pm,12.5,9.8,12.1,SW,7.5,8.3,SSW,AVERAGE,7.6
2025-02-1404:40 pm,12.1,9.8,10.0,SW,7.2,8.3,SSW,AVERAGE,7.5
2025-02-1404:10 pm,10.8,8.5,11.4,SSW,6.2,5.0,SE,AVERAGE,6.9
2025-02-1403:40 pm,10.5,8.2,10.8,SW,6.6,6.7,S,AVERAGE,6.7
2025-02-1403:10 pm,9.8,7.5,10.8,SW,6.2,5.3,SSE,AVERAGE,6.5
2025-02-1402:40 pm,8.5,6.2,10.0,SSW,5.9,6.2,S,AVERAGE,6.1
2025-02-1402:10 pm,8.2,5.9,9.1,SSW,5.9,5.3,SSE,AVERAGE,6.1
2025-02-1401:40 pm,7.9,5.9,9.1,SW,5.2,6.7,SSW,AVERAGE,5.9
2025-02-1401:10 pm,6.6,4.9,10.8,SW,4.6,6.2,SSW,SWELL,5.6
2025-02-1412:40 pm,6.6,4.6,8.3,SW,4.6,7.1,SSW,AVERAGE,5.6
2025-02-1412:10 pm,6.2,4.3,10.0,SW,4.3,6.7,SW,SWELL,5.6
2025-02-1411:40 am,5.9,4.3,10.0,WSW,3.9,5.9,SSW,SWELL,5.4
2025-02-1411:10 am,5.6,3.6,9.1,WSW,4.3,5.0,S,AVERAGE,5.2
2025-02-1410:40 am,5.2,4.3,10.0,W,3.3,4.5,S,SWELL,5.6
2025-02-1410:10 am,5.9,4.9,10.0,WSW,3.3,6.2,SW,SWELL,5.9
