TIME(PST),WVHTft,SwHft,SwPsec,SwD,WWHft,WWPsec,WWD,STEEPNESS,APDsec
2025-02-1504:26 pm,11.5,8.9,15.4,WNW,7.5,9.9,WNW,SWELL,9.1
2025-02-1503:56 pm,11.2,7.9,12.5,WNW,8.2,9.9,WNW,AVERAGE,8.5
2025-02-1503:26 pm,10.5,7.5,14.3,WNW,7.5,9.9,WNW,SWELL,8.8
2025-02-1502:56 pm,11.5,9.2,11.8,WNW,7.5,9.9,WNW,AVERAGE,9.1
2025-02-1502:26 pm,11.5,9.5,14.3,WNW,6.6,9.9,WNW,SWELL,9.5
2025-02-1501:56 pm,11.5,9.2,14.3,WNW,7.2,9.9,WNW,SWELL,9.4
2025-02-1501:26 pm,11.2,8.2,11.8,WNW,7.5,9.9,NW,SWELL,9.1
2025-02-1512:56 pm,11.5,8.9,13.3,WNW,7.9,9.9,WNW,SWELL,9.3
2025-02-1512:26 pm,11.2,8.5,13.3,W,7.2,9.1,WNW,SWELL,9.0
2025-02-1511:56 am,11.5,8.9,15.4,W,7.5,9.9,WNW,SWELL,9.2
2025-02-1511:26 am,11.8,9.5,11.8,WNW,7.2,9.9,WNW,AVERAGE,9.3
2025-02-1510:56 am,12.1,9.8,11.8,WNW,7.2,9.1,WNW,AVERAGE,9.5
2025-02-1510:26 am,11.2,9.2,16.7,WNW,6.6,9.9,W,SWELL,9.2
2025-02-1509:56 am,11.2,9.2,13.3,W,6.6,9.1,WNW,SWELL,9.1
2025-02-1509:26 am,11.2,9.2,14.3,W,6.6,9.9,W,SWELL,9.3
2025-02-1508:56 am,9.8,7.9,13.3,WNW,6.2,9.9,WNW,SWELL,8.7
2025-02-1508:26 am,10.8,8.5,14.3,WNW,6.9,9.9,WNW,SWELL,8.9
2025-02-1507:56 am,11.2,8.5,15.4,WNW,6.9,9.9,WNW,SWELL,9.0
2025-02-1507:26 am,11.2,8.5,13.3,WNW,7.2,9.9,WNW,SWELL,8.7
2025-02-1506:56 am,12.8,10.5,13.3,WNW,7.5,9.9,WNW,SWELL,9.4
2025-02-1506:26 am,12.8,10.5,13.3,WNW,7.5,9.1,W,SWELL,9.5
2025-02-1505:56 am,11.5,8.2,15.4,WNW,7.9,9.9,WNW,SWELL,8.6
2025-02-1505:26 am,12.1,9.5,13.3,WNW,7.5,9.9,WNW,SWELL,9.1
2025-02-1504:56 am,12.5,9.8,15.4,WNW,7.9,9.9,WNW,SWELL,9.2
2025-02-1504:26 am,11.5,8.5,14.3,WNW,7.9,9.9,WNW,SWELL,8.7
2025-02-1503:56 am,12.8,9.5,13.3,WNW,8.9,9.9,W,SWELL,8.9
2025-02-1503:26 am,13.8,11.2,14.3,WNW,8.2,8.3,WNW,SWELL,9.7
2025-02-1502:56 am,14.8,11.8,14.3,WNW,9.2,9.1,WNW,SWELL,9.4
2025-02-1502:26 am,13.8,10.5,14.3,WNW,9.2,9.9,WNW,SWELL,9.2
2025-02-1501:56 am,14.8,12.5,14.3,WNW,8.5,9.9,WNW,SWELL,9.9
2025-02-1501:26 am,13.8,10.8,13.3,WNW,9.2,8.3,W,SWELL,9.2
2025-02-1512:56 am,14.4,10.8,14.3,WNW,9.8,9.9,WNW,SWELL,9.3
2025-02-1512:26 am,14.1,10.8,13.3,WNW,9.2,8.3,W,SWELL,9.0
2025-02-1411:56 pm,13.1,9.8,15.4,WNW,8.9,8.3,W,SWELL,9.0
2025-02-1411:26 pm,14.4,10.8,15.4,W,9.5,9.9,W,SWELL,9.2
2025-02-1410:56 pm,13.1,9.8,14.3,WNW,8.9,9.9,WNW,SWELL,8.8
2025-02-1410:26 pm,15.1,11.8,13.3,W,9.5,9.9,W,SWELL,9.3
2025-02-1409:56 pm,14.8,12.1,14.3,WNW,8.5,9.9,WNW,SWELL,9.7
2025-02-1409:26 pm,14.8,11.5,14.3,W,9.2,9.9,WNW,SWELL,9.3
2025-02-1408:56 pm,15.1,12.5,14.3,WNW,8.9,9.9,WNW,SWELL,9.7
2025-02-1408:26 pm,13.8,10.8,15.4,WNW,8.9,9.9,W,SWELL,9.0
2025-02-1407:56 pm,15.7,12.8,14.3,WNW,9.2,9.9,W,SWELL,9.5
2025-02-1407:26 pm,15.4,12.5,14.3,W,9.5,9.9,WNW,SWELL,9.4
2025-02-1406:56 pm,14.8,12.1,13.3,WNW,8.5,9.9,W,SWELL,9.5
2025-02-1406:26 pm,14.8,12.1,12.5,WNW,8.9,9.9,WNW,AVERAGE,9.5
2025-02-1405:56 pm,14.4,11.8,14.3,WNW,8.9,9.9,W,SWELL,9.7
2025-02-1405:26 pm,14.1,11.8,14.3,WNW,7.5,9.9,W,SWELL,9.8
2025-02-1404:56 pm,14.8,12.8,15.4,W,7.9,9.9,W,SWELL,10.3
